"division","state","years","sex","measure","participants"
"New South Wales","Dobell","70-74","male","Total participants",2973
"New South Wales","Dobell","70-74","male","Eligible participants",3356
"New South Wales","Dobell","70-74","male","Participation rate (%)",88.6
"New South Wales","Eden-Monaro","70-74","male","Total participants",3282
"New South Wales","Eden-Monaro","70-74","male","Eligible participants",3669
"New South Wales","Eden-Monaro","70-74","male","Participation rate (%)",89.5
"New South Wales","Farrer","70-74","male","Total participants",3453
"New South Wales","Farrer","70-74","male","Eligible participants",3898
"New South Wales","Farrer","70-74","male","Participation rate (%)",88.6
"New South Wales","Fowler","70-74","male","Total participants",2162
"New South Wales","Fowler","70-74","male","Eligible participants",2547
"New South Wales","Fowler","70-74","male","Participation rate (%)",84.9
"New South Wales","Gilmore","70-74","male","Total participants",4789
"New South Wales","Gilmore","70-74","male","Eligible participants",5297
"New South Wales","Gilmore","70-74","male","Participation rate (%)",90.4
"New South Wales","Grayndler","70-74","male","Total participants",1837
"New South Wales","Grayndler","70-74","male","Eligible participants",2088
"New South Wales","Grayndler","70-74","male","Participation rate (%)",88
"New South Wales","Greenway","70-74","male","Total participants",1850
"New South Wales","Greenway","70-74","male","Eligible participants",2093
"New South Wales","Greenway","70-74","male","Participation rate (%)",88.4
"New South Wales","Hughes","70-74","male","Total participants",2504
"New South Wales","Hughes","70-74","male","Eligible participants",2717
"New South Wales","Hughes","70-74","male","Participation rate (%)",92.2
"New South Wales","Hume","70-74","male","Total participants",2745
"New South Wales","Hume","70-74","male","Eligible participants",3030
"New South Wales","Hume","70-74","male","Participation rate (%)",90.6
"New South Wales","Hunter","70-74","male","Total participants",3307
"New South Wales","Hunter","70-74","male","Eligible participants",3644
"New South Wales","Hunter","70-74","male","Participation rate (%)",90.8
"New South Wales","Kingsford Smith","70-74","male","Total participants",2202
"New South Wales","Kingsford Smith","70-74","male","Eligible participants",2538
"New South Wales","Kingsford Smith","70-74","male","Participation rate (%)",86.8
"New South Wales","Lindsay","70-74","male","Total participants",2275
"New South Wales","Lindsay","70-74","male","Eligible participants",2526
"New South Wales","Lindsay","70-74","male","Participation rate (%)",90.1
"New South Wales","Lyne","70-74","male","Total participants",5049
"New South Wales","Lyne","70-74","male","Eligible participants",5494
"New South Wales","Lyne","70-74","male","Participation rate (%)",91.9
"New South Wales","Macarthur","70-74","male","Total participants",2077
"New South Wales","Macarthur","70-74","male","Eligible participants",2355
"New South Wales","Macarthur","70-74","male","Participation rate (%)",88.2
"New South Wales","Mackellar","70-74","male","Total participants",3035
"New South Wales","Mackellar","70-74","male","Eligible participants",3338
"New South Wales","Mackellar","70-74","male","Participation rate (%)",90.9
"New South Wales","Macquarie","70-74","male","Total participants",2829
"New South Wales","Macquarie","70-74","male","Eligible participants",3109
"New South Wales","Macquarie","70-74","male","Participation rate (%)",91
"New South Wales","McMahon","70-74","male","Total participants",2291
"New South Wales","McMahon","70-74","male","Eligible participants",2585
"New South Wales","McMahon","70-74","male","Participation rate (%)",88.6
"New South Wales","Mitchell","70-74","male","Total participants",2551
"New South Wales","Mitchell","70-74","male","Eligible participants",2755
"New South Wales","Mitchell","70-74","male","Participation rate (%)",92.6
"New South Wales","Newcastle","70-74","male","Total participants",2455
"New South Wales","Newcastle","70-74","male","Eligible participants",2695
"New South Wales","Newcastle","70-74","male","Participation rate (%)",91.1
"New South Wales","New England","70-74","male","Total participants",3419
"New South Wales","New England","70-74","male","Eligible participants",3809
"New South Wales","New England","70-74","male","Participation rate (%)",89.8
"New South Wales","North Sydney","70-74","male","Total participants",2472
"New South Wales","North Sydney","70-74","male","Eligible participants",2712
"New South Wales","North Sydney","70-74","male","Participation rate (%)",91.2
"New South Wales","Page","70-74","male","Total participants",3819
"New South Wales","Page","70-74","male","Eligible participants",4273
"New South Wales","Page","70-74","male","Participation rate (%)",89.4
"New South Wales","Parkes","70-74","male","Total participants",2922
"New South Wales","Parkes","70-74","male","Eligible participants",3387
"New South Wales","Parkes","70-74","male","Participation rate (%)",86.3
"New South Wales","Parramatta","70-74","male","Total participants",1860
"New South Wales","Parramatta","70-74","male","Eligible participants",2128
"New South Wales","Parramatta","70-74","male","Participation rate (%)",87.4
"New South Wales","Paterson","70-74","male","Total participants",3568
"New South Wales","Paterson","70-74","male","Eligible participants",3910
"New South Wales","Paterson","70-74","male","Participation rate (%)",91.3
"New South Wales","Reid","70-74","male","Total participants",2097
"New South Wales","Reid","70-74","male","Eligible participants",2377
"New South Wales","Reid","70-74","male","Participation rate (%)",88.2
"New South Wales","Richmond","70-74","male","Total participants",3684
"New South Wales","Richmond","70-74","male","Eligible participants",4114
"New South Wales","Richmond","70-74","male","Participation rate (%)",89.5
"New South Wales","Riverina","70-74","male","Total participants",3299
"New South Wales","Riverina","70-74","male","Eligible participants",3653
"New South Wales","Riverina","70-74","male","Participation rate (%)",90.3
"New South Wales","Robertson","70-74","male","Total participants",3351
"New South Wales","Robertson","70-74","male","Eligible participants",3699
"New South Wales","Robertson","70-74","male","Participation rate (%)",90.6
"New South Wales","Shortland","70-74","male","Total participants",3428
"New South Wales","Shortland","70-74","male","Eligible participants",3777
"New South Wales","Shortland","70-74","male","Participation rate (%)",90.8
"New South Wales","Sydney","70-74","male","Total participants",1615
"New South Wales","Sydney","70-74","male","Eligible participants",1906
"New South Wales","Sydney","70-74","male","Participation rate (%)",84.7
"New South Wales","Warringah","70-74","male","Total participants",2414
"New South Wales","Warringah","70-74","male","Eligible participants",2644
"New South Wales","Warringah","70-74","male","Participation rate (%)",91.3
"New South Wales","Watson","70-74","male","Total participants",2131
"New South Wales","Watson","70-74","male","Eligible participants",2522
"New South Wales","Watson","70-74","male","Participation rate (%)",84.5
"New South Wales","Wentworth","70-74","male","Total participants",2155
"New South Wales","Wentworth","70-74","male","Eligible participants",2443
"New South Wales","Wentworth","70-74","male","Participation rate (%)",88.2
"New South Wales","Werriwa","70-74","male","Total participants",1818
"New South Wales","Werriwa","70-74","male","Eligible participants",2130
"New South Wales","Werriwa","70-74","male","Participation rate (%)",85.4
"New South Wales","Whitlam","70-74","male","Total participants",3392
"New South Wales","Whitlam","70-74","male","Eligible participants",3782
"New South Wales","Whitlam","70-74","male","Participation rate (%)",89.7
"Victoria","Aston","70-74","male","Total participants",2088
"Victoria","Aston","70-74","male","Eligible participants",2347
"Victoria","Aston","70-74","male","Participation rate (%)",89
"Victoria","Ballarat","70-74","male","Total participants",2921
"Victoria","Ballarat","70-74","male","Eligible participants",3243
"Victoria","Ballarat","70-74","male","Participation rate (%)",90.1
"Victoria","Batman","70-74","male","Total participants",1888
"Victoria","Batman","70-74","male","Eligible participants",2177
"Victoria","Batman","70-74","male","Participation rate (%)",86.7
"Victoria","Bendigo","70-74","male","Total participants",3216
"Victoria","Bendigo","70-74","male","Eligible participants",3546
"Victoria","Bendigo","70-74","male","Participation rate (%)",90.7
"Victoria","Bruce","70-74","male","Total participants",2636
"Victoria","Bruce","70-74","male","Eligible participants",3031
"Victoria","Bruce","70-74","male","Participation rate (%)",87
"Victoria","Calwell","70-74","male","Total participants",2361
"Victoria","Calwell","70-74","male","Eligible participants",2737
"Victoria","Calwell","70-74","male","Participation rate (%)",86.3
"Victoria","Casey","70-74","male","Total participants",2714
"Victoria","Casey","70-74","male","Eligible participants",2985
"Victoria","Casey","70-74","male","Participation rate (%)",90.9
"Victoria","Chisholm","70-74","male","Total participants",2057
"Victoria","Chisholm","70-74","male","Eligible participants",2320
"Victoria","Chisholm","70-74","male","Participation rate (%)",88.7
"Victoria","Corangamite","70-74","male","Total participants",3193
"Victoria","Corangamite","70-74","male","Eligible participants",3484
"Victoria","Corangamite","70-74","male","Participation rate (%)",91.6
"Victoria","Corio","70-74","male","Total participants",3003
"Victoria","Corio","70-74","male","Eligible participants",3324
"Victoria","Corio","70-74","male","Participation rate (%)",90.3
"Victoria","Deakin","70-74","male","Total participants",2534
"Victoria","Deakin","70-74","male","Eligible participants",2765
"Victoria","Deakin","70-74","male","Participation rate (%)",91.6
"Victoria","Dunkley","70-74","male","Total participants",2923
"Victoria","Dunkley","70-74","male","Eligible participants",3273
"Victoria","Dunkley","70-74","male","Participation rate (%)",89.3
"Victoria","Flinders","70-74","male","Total participants",4153
"Victoria","Flinders","70-74","male","Eligible participants",4624
"Victoria","Flinders","70-74","male","Participation rate (%)",89.8
"Victoria","Gellibrand","70-74","male","Total participants",2029
"Victoria","Gellibrand","70-74","male","Eligible participants",2333
"Victoria","Gellibrand","70-74","male","Participation rate (%)",87
"Victoria","Gippsland","70-74","male","Total participants",3635
"Victoria","Gippsland","70-74","male","Eligible participants",4015
